"Gene"	"Correlation"	"P-Value"	"FDR"
"ENSG00000188693"	"0.634008097165992"	"2.27927758333637e-05"	"0.000222312836520825"
"ENSG00000188825"	"0.675506072874494"	"4.57238361996881e-06"	"8.73351442048008e-05"
"ENSG00000189196"	"0.259971659509668"	"0.109971926788318"	"0.191383759947486"
"ENSG00000189223"	"0.527935222672065"	"0.00066159684915305"	"0.00266005204754135"
"ENSG00000189229"	"0.67004048582996"	"5.68610570566561e-06"	"9.88299325032356e-05"
"ENSG00000189238"	"0.633603238866397"	"2.31360193015181e-05"	"0.000223977377075617"
"ENSG00000189275"	"0.439773478768647"	"0.00508898876301176"	"0.0143747010282896"
"ENSG00000189295"	"0.57165991902834"	"0.000187390251354587"	"0.000991941144718593"
"ENSG00000189316"	"0.0898785425101215"	"0.585122195529096"	"0.693126495312357"
"ENSG00000189419"	"0.657692307692308"	"9.25577399903384e-06"	"0.000128089384252032"
"ENSG00000194297"	"0.272394765849347"	"0.0934153740430505"	"0.167371003040778"
"ENSG00000194717"	"0.158551266646232"	"0.335019002816224"	"0.456915221029133"
"ENSG00000195024"			
"ENSG00000195401"	"0.202287966003801"	"0.216829675392615"	"0.3280106992081"
"ENSG00000196096"	"0.57085020242915"	"0.000192108470394314"	"0.00101005038676821"
"ENSG00000196166"	"0.606275303643725"	"6.10513711104871e-05"	"0.000433878925811067"
"ENSG00000196167"	"0.56497975708502"	"0.000229651760250623"	"0.00116168582058349"
"ENSG00000196204"	"0.29331983805668"	"0.0702665245054521"	"0.132522687909524"
"ENSG00000196243"	"0.267206477732794"	"0.100146458664801"	"0.177363250523863"
"ENSG00000196273"	"0.0124840401211704"	"0.939873308399918"	"0.959087912118735"
"ENSG00000196274"	"0.648785425101215"	"1.30662040078826e-05"	"0.000156366047963185"
"ENSG00000196295"	"0.682793522267206"	"3.41611671108983e-06"	"7.60004632105318e-05"
"ENSG00000196299"	"0.187044534412955"	"0.253220944940348"	"0.369686574091641"
"ENSG00000196366"	"0.415384615384615"	"0.00902017629876409"	"0.0232547531551848"
"ENSG00000196566"	"0.321052631578947"	"0.0467789022661722"	"0.0944452590622385"
"ENSG00000196634"	"0.553643724696356"	"0.000321373119869773"	"0.00150839382763872"
"ENSG00000196668"	"0.700404858299595"	"1.69987923127489e-06"	"5.57713185991312e-05"
"ENSG00000196696"	"0.424898785425101"	"0.00745252268660171"	"0.0197763182959237"
"ENSG00000196741"	"0.323076923076923"	"0.0453520239486416"	"0.0920997374111334"
"ENSG00000196756"	"0.395546558704453"	"0.0132228425081588"	"0.0320820109047143"
"ENSG00000196758"	"0.0508322296790863"	"0.758601633956482"	"0.831188281858509"
"ENSG00000196810"	"0.322064777327935"	"0.0460609603491655"	"0.0932350615377949"
"ENSG00000196893"	"-0.283298144343748"	"0.0805267841611461"	"0.148704006166354"
"ENSG00000196951"	"0.705668016194332"	"1.38720675500945e-06"	"5.22515330502477e-05"
"ENSG00000196979"	"0.474493927125506"	"0.00253167359446069"	"0.00795425624298611"
"ENSG00000197085"	"0.601214574898785"	"7.24595446449174e-05"	"0.000492337103811888"
"ENSG00000197099"	"0.623684210526316"	"3.3195815887159e-05"	"0.000284779382711728"
"ENSG00000197176"	"0.506377819652398"	"0.0010047606164643"	"0.00372204376793626"
"ENSG00000197180"	"0.67753036437247"	"4.21689816574207e-06"	"8.37642356732438e-05"
"ENSG00000197182"	"0.681578947368421"	"3.5862324769047e-06"	"7.80749213984099e-05"
"ENSG00000197210"	"0.689676113360324"	"2.5952630018335e-06"	"6.75115186223057e-05"
"ENSG00000197251"	"0.507287449392713"	"0.00113816802451931"	"0.00412083153328752"
"ENSG00000197291"	"0.718623481781376"	"8.57369827867666e-07"	"4.64843460382915e-05"
"ENSG00000197301"	"0.628137651821862"	"2.82632778180482e-05"	"0.000255804017756531"
"ENSG00000197308"	"0.328470280038866"	"0.0411920149965566"	"0.0849589855482573"
"ENSG00000197322"	"-0.330566801619433"	"0.0403779956969465"	"0.0835028004206669"
"ENSG00000197332"	"0.677935222672065"	"4.14915691533759e-06"	"8.28412867882787e-05"
"ENSG00000197334"	"0.112727191126826"	"0.494442856865732"	"0.611120906686958"
"ENSG00000197462"	"0.645748987854251"	"1.46733030840419e-05"	"0.000168106110859842"
"ENSG00000197503"	"0.0291497975708502"	"0.859978238126927"	"0.906361687656374"
"ENSG00000197536"	"0.546761133603239"	"0.00039198684694177"	"0.00176670128199108"
"ENSG00000197568"	"0.314777327935223"	"0.0514360811225368"	"0.102215810720754"
"ENSG00000197585"	"0.228229576534375"	"0.162280337971868"	"0.260791737412138"
"ENSG00000197595"	"0.190289289574992"	"0.245913551970001"	"0.362203062674604"
"ENSG00000197644"	"0.480894807232654"	"0.00194221666085157"	"0.00636774861066456"
"ENSG00000197665"	"0.42004048582996"	"0.00822072176654803"	"0.0214685366647918"
"ENSG00000197670"	"0.363967611336032"	"0.0233248936154533"	"0.0522406054512933"
"ENSG00000197734"	"0.594939271255061"	"8.92893370695544e-05"	"0.000569112936956287"
"ENSG00000197813"	"0.544331983805668"	"0.000420053951901492"	"0.00185877255472985"
"ENSG00000197815"	"0.709109311740891"	"1.21718257728228e-06"	"5.0800364310972e-05"
"ENSG00000197880"	"0.650607287449393"	"1.21829650134279e-05"	"0.000149628844749567"
"ENSG00000197934"	"0.528947368421053"	"0.000643699701545398"	"0.00259972770195375"
"ENSG00000197989"	"0.390080971659919"	"0.0146396215417103"	"0.0350390941817984"
"ENSG00000198054"	"0.379776304955221"	"0.017095407622546"	"0.039997170302353"
"ENSG00000198106"	"0.349392712550607"	"0.0298227326551287"	"0.064386232423642"
"ENSG00000198221"	"0.718421052631579"	"8.63621839923737e-07"	"4.64843460382915e-05"
"ENSG00000198358"	"0.670647773279352"	"5.55031878664647e-06"	"9.85223760304419e-05"
"ENSG00000198454"	"0.19822085761617"	"0.226409048884275"	"0.33877244311662"
"ENSG00000198468"	"0.589473684210526"	"0.000106762676137273"	"0.000649303856955662"
"ENSG00000198491"	"0.00954124844055131"	"0.954029261808014"	"0.969517616273789"
"ENSG00000198496"	"0.444534412955466"	"0.00494573471488284"	"0.0140277274088955"
"ENSG00000198590"	"0.630566801619433"	"2.58670493833119e-05"	"0.000241412015019643"
"ENSG00000198671"	"0.626315789473684"	"3.01931416740665e-05"	"0.000267062396632409"
"ENSG00000198685"	"0.626835523388632"	"1.95855318884714e-05"	"0.000202433993235462"
"ENSG00000198711"	"0.547368421052632"	"0.000385238602161815"	"0.00174301254048034"
"ENSG00000198972"			
"ENSG00000198973"			
"ENSG00000198974"	"0.427450247948206"	"0.00664376481168607"	"0.0179430295750657"
"ENSG00000198975"	"0.0640059999255429"	"0.698674990928291"	"0.786101906756809"
"ENSG00000198976"	"0.411863766245329"	"0.00918284990664815"	"0.0236193981302908"
